Название товара;Артикул Ozon;Артикул продавца;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика суммы заказов, %;Заказано товаров;Самая низкая цена, ₽;Средняя цена покупки, ₽;Упущенные продажи, ₽;Дней без остатка, дни;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Среднее время доставки;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Показы в поиске и каталоге;Посещения карточки товара;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
—;—;—;—;—;—;—;Приносят больше выручки и чаще продаются. А ещё за их поставки можно получить бонусы и скидки. Узнайте, какие Super-товары продают на Ozon сейчас;Общая стоимость заказанных товаров, включая отмены и возвраты. Для расчёта берём цену, которую заплатил покупатель, с учётом скидок продавца и покупателя;Как изменилась суммарная стоимость заказов в сравнении с предыдущим периодом;Общее количество заказанных товаров;Самая низкая цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Средняя цена, которую заплатил покупатель, с учётом скидок продавца и покупателя;Сколько выручки мог бы ещё получить продавец, если бы товар был на складе все 28 дней;Считаем сколько дней из последних 28 товар был в наличии;Средняя сумма заказов в сутки (ADS) — делим сумму всех продаж за 28 дней на количество дней, когда товар был в наличии. Не вычитаем возвраты и отмены;Среднее количество заказов в сутки — делим количество всех заказов за 28 дней на количество дней, когда товар был в наличии;Модель сотрудничества с Ozon — зависит от того, с чьего склада продаётся товар (Ozon или продавца) и кто доставляет заказ;Умножаем время доставки между кластерами по всем маршрутам на количество отправленных товаров за 28 дней. Затем суммируем полученные значения и делим на общее количество товаров;Сколько места занимает товар — чем больше объём, тем выше стоимость логистики и размещения товара на складе Ozon;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Какой процент с продажи товара составляют расходы на Ozon. Считаем отдельно для схем FBO и FBS;Сколько раз покупатели посмотрели товар в поисковой выдаче и каталоге;Сколько раз покупатели перешли в карточку товара за последние 28 дней;Отношение количества добавлений товара в корзину к количеству просмотров в каталоге и поиске;Отношение количества просмотров карточки к количеству добавлений товара в корзину после просмотра;Процент расходов на продвижение товаров от суммы всех заказов;Процент заказанных товаров, которые не отменили и не вернули;—
Кофе в зернах 1 кг Арабика 100%;2736556914;manlf9mjubcea0o73j1o;https://www.ozon.ru/product/2736556914;без бренда;Продукты питания;Кофе в зернах;Нет;3 292 314 ₽;-24%;2 464;118 ₽;1 336 ₽;120 590 ₽;26 из 28;120 590 ₽;90;FBO,FBS;49 ч;5,6;40,0%;51,0%;37 137;13 245;0,94%;22,35%;0,0%;94,3%;2025-08-23
Кофе молотый Monarch Original, 230 г;138218840;4251755;https://www.ozon.ru/product/138218840;Monarch;Продукты питания;Кофе молотый;Нет;3 255 496 ₽;+45%;8 141;1 ₽;400 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,9;50,0%;70,0%;341 049;103 786;2,00%;12,21%;17,7%;0,0%;0001-01-01
Набор кофе в зернах подарочный DE JANEIRO ассорти 5 вкусов;271679806;DJ-PU-ZERNO-1000;https://www.ozon.ru/product/271679806;DE JANEIRO;Продукты питания;Кофе в зернах;Нет;3 223 186 ₽;+432%;1 338;617 ₽;2 409 ₽;0 ₽;12 из 28;113 232 ₽;47;FBO;47 ч;6,5;37,0%;45,0%;160 075;37 073;0,26%;7,05%;3,3%;95,2%;2021-06-07
Кофе молотый Poetti Leggenda Original, 250 г;686577014;18008;https://www.ozon.ru/product/686577014;Poetti;Продукты питания;Кофе молотый;Нет;3 198 454 ₽;+39%;7 605;1 ₽;421 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,4;50,0%;71,0%;265 846;48 779;1,03%;9,85%;0,3%;0,0%;0001-01-01
Кофе молотый турецкий Mehmet Efendi;2704015508;банка 500;https://www.ozon.ru/product/2704015508;Kurukahveci Mehmet Efendi;Продукты питания;Кофе молотый;Нет;3 175 311 ₽;+13%;2 649;1 ₽;1 199 ₽;0 ₽;17 из 28;110 742 ₽;93;FBO;34 ч;2,9;38,0%;48,0%;230 100;30 584;0,76%;10,87%;9,9%;95,3%;2025-08-18
Кофейный напиток MacCoffee Оригинал, 3 в 1, 100 шт;184446441;100110;https://www.ozon.ru/product/184446441;MacCoffee;Продукты питания;Кофейный напиток;Нет;3 151 942 ₽;+80%;2 288;1 ₽;1 378 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;11,4;48,0%;62,0%;72 806;39 755;0,53%;8,02%;2,5%;0,0%;0001-01-01
Кофе растворимый Жокей Триумф, 150 г;34371177;1000-08-0, 1000-08-0;https://www.ozon.ru/product/34371177;Жокей;Продукты питания;Кофе растворимый;Нет;3 149 093 ₽;+106%;10 894;1 ₽;289 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,7;55,0%;80,0%;361 345;95 656;0,81%;11,31%;0,1%;0,0%;0001-01-01
Кофе растворимый Московская Кофейня на паяхъ Арабика сублимированный, 95 г;615919260;4601985002803;https://www.ozon.ru/product/615919260;Московская кофейня на паяхъ;Продукты питания;Кофе растворимый;Нет;3 144 445 ₽;+119%;6 944;1 ₽;453 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,7;48,0%;66,0%;271 014;49 944;0,85%;13,79%;0,3%;0,0%;0001-01-01
Кофе в зёрнах Lavazza Crema e Aroma, 1 кг;32933713;2444;https://www.ozon.ru/product/32933713;Lavazza;Продукты питания;Кофе в зернах;Нет;3 096 738 ₽;+28%;1 447;1 090 ₽;2 140 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,0;36,0%;44,0%;57 143;9 016;1,13%;11,00%;0,0%;0,0%;0001-01-01
Кофе в зернах illy Classico, банка 3 кг (арабика 100%, Италия);2035516547;5000000142;https://www.ozon.ru/product/2035516547;illy;Продукты питания;Кофе в зернах;Нет;3 074 129 ₽;+15%;284;8 207 ₽;10 824 ₽;0 ₽;18 из 28;108 991 ₽;10;FBO;33 ч;38,1;37,0%;44,0%;4 962;4 337;1,83%;5,53%;0,0%;95,1%;2025-04-15
Кофе растворимый FRESCO Arabica Solo, 190 г;151813560;4630007985442;https://www.ozon.ru/product/151813560;Fresco;Продукты питания;Кофе растворимый;Нет;3 037 290 ₽;+45%;6 848;1 ₽;444 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;2,6;51,0%;72,0%;550 357;70 805;0,47%;12,64%;7,9%;0,0%;0001-01-01
Кофе молотый турецкий Мехмет Эфенди;1621344708;KDMEHM5*100;https://www.ozon.ru/product/1621344708;Kurukahveci Mehmet Efendi;Продукты питания;Кофе молотый;Нет;3 020 603 ₽;+95%;3 190;86 ₽;947 ₽;0 ₽;18 из 28;106 378 ₽;112;FBO;34 ч;2,9;40,0%;51,0%;64 586;33 926;1,57%;12,88%;0,3%;96,0%;2024-07-05
НЕСКАФÉ Кофе растворимый Сублимированный 500г. 1шт.;3169123277;12348494;https://www.ozon.ru/product/3169123277;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;3 007 580 ₽;+85 277%;3 273;74 ₽;919 ₽;0 ₽;27 из 28;102 837 ₽;112;FBO,FBS;0 ч;5,7;45,0%;59,0%;156 027;24 161;1,20%;19,54%;0,5%;94,7%;2025-11-28
Дрип кофе Buenos Dias ВИШНЯ с коньяком 6 шт по 10 гр (Молотый кофе в дрип-пакетах ароматизированный);785583495;DBD41559;https://www.ozon.ru/product/785583495;BUENOS DIAS;Продукты питания;Кофе в дрип-пакетах;Нет;2 947 628 ₽;+58%;7 930;1 ₽;372 ₽;0 ₽;18 из 28;75 879 ₽;205;FBO;38 ч;1,0;50,0%;69,0%;201 142;204 751;0,81%;8,54%;12,4%;96,3%;2022-11-10
Кофе в зёрнах EGOISTE Espresso, арабика, 250 г;35190434;4260283250158;https://www.ozon.ru/product/35190434;EGOISTE;Продукты питания;Кофе в зернах;Нет;2 931 298 ₽;+145%;5 495;1 ₽;533 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,9;46,0%;62,0%;436 942;73 630;0,79%;9,34%;16,5%;0,0%;0001-01-01
Кофе в капсулах dolce gusto 48 штук Americano;787014840;NDG-americano_pack3;https://www.ozon.ru/product/787014840;Nescafe Dolce Gusto;Продукты питания;Кофе в капсулах;Нет;2 924 160 ₽;+52%;1 387;169 ₽;2 108 ₽;0 ₽;19 из 28;102 494 ₽;49;FBO;31 ч;5,7;38,0%;46,0%;47 263;7 432;1,23%;14,19%;0,3%;97,9%;2022-11-11
Кофе молотый Coffesso Mokka, 250 г;1410041547;102490;https://www.ozon.ru/product/1410041547;Coffesso;Продукты питания;Кофе молотый;Нет;2 922 683 ₽;+93%;9 821;1 ₽;298 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,8;54,0%;77,0%;436 903;85 855;1,05%;15,42%;5,7%;0,0%;0001-01-01
Турецкий кофе Mehmet Efendi молотый;2553849631;кофе 5 пачек;https://www.ozon.ru/product/2553849631;Kurukahveci Mehmet Efendi;Продукты питания;Кофе молотый;Нет;2 901 297 ₽;-14%;2 747;1 ₽;1 056 ₽;0 ₽;13 из 28;103 636 ₽;98;FBO;31 ч;2,5;40,0%;50,0%;275 629;38 837;0,83%;8,96%;12,0%;95,9%;2025-07-27
Кофе капсульный Nescafe Dolce Gusto Cappuccino, для системы Dolce Gusto, 8 порций, 16 шт;135384044;5219849;https://www.ozon.ru/product/135384044;Nescafe Dolce Gusto;Продукты питания;Кофе в капсулах;Нет;2 883 104 ₽;-12%;3 666;1 ₽;786 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;3,2;48,0%;66,0%;171 926;41 007;1,32%;9,14%;0,2%;0,0%;0001-01-01
Кофе растворимый Индия, сублимированный, 500грамм пакет;1480600255;005;https://www.ozon.ru/product/1480600255;ORANGE PRODUKTORIUM;Продукты питания;Кофе растворимый;Нет;2 876 877 ₽;+31%;3 682;1 ₽;781 ₽;0 ₽;6 из 28;101 910 ₽;130;FBO;28 ч;2,8;43,0%;56,0%;148 659;43 388;0,46%;10,92%;0,0%;98,1%;2024-03-18
Кофе в зернах Tasty Coffee Эфиопия Иргачефф, 250 г;231701830;2_1МЭ004;https://www.ozon.ru/product/231701830;Tasty Coffee;Продукты питания;Кофе в зернах;Нет;2 867 202 ₽;+14%;4 586;1 ₽;625 ₽;0 ₽;26 из 28;100 025 ₽;160;FBO;58 ч;1,7;43,0%;58,0%;261 952;45 340;0,95%;10,29%;15,7%;96,4%;2021-02-19
Кофе молотый Жокей Caffe Italiano, 250 г;33069374;0499-12, 0499-12-0, 0499-12-0;https://www.ozon.ru/product/33069374;Жокей;Продукты питания;Кофе молотый;Нет;2 854 913 ₽;+16%;9 009;1 ₽;317 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,8;52,0%;75,0%;273 937;79 747;1,93%;11,18%;0,2%;0,0%;0001-01-01
Кофе в капсулах набор Ristrello Soft Pack для кофемашины Nespresso Арабика разной степени обжарки 5 видов 50 капсул Интенсивность 4,5,6;704170040;НБК-del-vanig-ricco-purismo-creme;https://www.ozon.ru/product/704170040;Ristrello;Продукты питания;Кофе в капсулах;Нет;2 851 021 ₽;+67%;2 347;204 ₽;1 215 ₽;0 ₽;18 из 28;100 170 ₽;83;FBO,FBS;33 ч;4,6;41,0%;52,0%;224 827;29 097;0,34%;12,15%;5,3%;95,9%;2022-09-07
Кофе в зёрнах EGOISTE Noir, арабика, 1 кг;3095105182;CLO EGOISTE Noir 1 кг - new3;https://www.ozon.ru/product/3095105182;без бренда;Продукты питания;Кофе в зернах;Нет;2 814 914 ₽;+803%;1 746;1 ₽;1 612 ₽;0 ₽;27 из 28;96 738 ₽;60;FBO,FBS;0 ч;4,9;39,0%;48,0%;311 109;33 349;0,61%;12,20%;6,7%;91,5%;2025-11-11
Кофе в зернах 1 кг, Бразилия Моджиана, арабика 100%, Zerno Caffe;285773652;CAFFE_ZERNO_B3;https://www.ozon.ru/product/285773652;Zerno Caffe;Продукты питания;Кофе в зернах;Нет;2 797 857 ₽;-20%;1 502;704 ₽;1 863 ₽;0 ₽;17 из 28;97 069 ₽;52;FBO;30 ч;2,6;36,0%;44,0%;260 522;24 458;0,20%;10,64%;5,7%;96,1%;2021-07-07
Kофе рaствоpимый Московская кофейня на паяхъ СУАРЕ, 95 г;2162049028;4601985002827;https://www.ozon.ru/product/2162049028;Московская кофейня на паяхъ;Продукты питания;Кофе растворимый;Нет;2 788 644 ₽;+87%;8 593;1 ₽;325 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,7;54,0%;78,0%;203 292;32 730;2,11%;20,35%;0,0%;0,0%;0001-01-01
Кофе растворимый Monarch Original, 270 г;1626147903;281052098;https://www.ozon.ru/product/1626147903;Monarch;Продукты питания;Кофе растворимый;Нет;2 776 560 ₽;+43%;3 380;68 ₽;821 ₽;0 ₽;25 из 28;96 863 ₽;118;FBO;59 ч;1,9;41,0%;52,0%;93 235;29 931;0,98%;15,97%;0,0%;90,7%;2024-07-11
Кофе Mehmet Efendi натуральный молотый, 250 г;163432330;70012;https://www.ozon.ru/product/163432330;Kurukahveci Mehmet Efendi;Продукты питания;Кофе молотый;Нет;2 770 942 ₽;+12%;4 069;54 ₽;681 ₽;0 ₽;10 из 28;28 868 ₽;43;FBO;31 ч;1,3;43,0%;56,0%;79 833;23 807;3,37%;16,28%;0,0%;97,2%;2019-12-05
Кофе в зернах 1 кг Barista Pro Bar, тёмная обжарка. Для кофемашины. Арабика / Робуста.;1304473065;4813785001256_PRO_BAR_1KG;https://www.ozon.ru/product/1304473065;Barista PRO;Продукты питания;Кофе в зернах;Нет;2 757 310 ₽;-4%;1 932;1 ₽;1 427 ₽;0 ₽;14 из 28;96 459 ₽;68;FBO;50 ч;6,0;40,0%;49,0%;106 905;27 006;0,72%;9,50%;2,4%;96,8%;2023-11-22
Московская кофейня на паяхъ Арабика кофе молотый, 250 г;31871193;4601985000090;https://www.ozon.ru/product/31871193;Московская кофейня на паяхъ;Продукты питания;Кофе молотый;Нет;2 755 556 ₽;+233%;6 209;1 ₽;444 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,6;50,0%;69,0%;289 678;81 414;0,46%;12,09%;0,5%;0,0%;0001-01-01
Кофе натуральный растворимый сублимированный Jardin Colombia Medellin, 150 г;33069288;1014-08, 1014-08-0, 1014-08-0;https://www.ozon.ru/product/33069288;Jardin;Продукты питания;Кофе растворимый;Нет;2 750 201 ₽;+21%;6 803;1 ₽;404 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,8;49,0%;69,0%;480 180;94 315;0,74%;9,53%;7,0%;0,0%;0001-01-01
Кофе капсульный Jardin Coconut, для системы Nespresso, 10 шт;1522890914;1892-10;https://www.ozon.ru/product/1522890914;Jardin;Продукты питания;Кофе в капсулах;Нет;2 741 378 ₽;+24%;10 032;1 ₽;273 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,4;53,0%;76,0%;242 881;37 950;2,49%;12,14%;13,1%;0,0%;0001-01-01
Кофе в зернах 1 кг 100% Робуста, Итальянская обжарка, BELLO COFFEE ITALY ESPRESSO GUSTO;2007078026;BC-GUSTO-1000;https://www.ozon.ru/product/2007078026;BELLO COFFEE;Продукты питания;Кофе в зернах;Нет;2 716 188 ₽;+96%;2 030;123 ₽;1 338 ₽;0 ₽;9 из 28;97 553 ₽;73;FBO;29 ч;3,8;39,0%;49,0%;253 173;34 972;0,37%;12,29%;6,4%;96,8%;2025-04-07
Кофе молотый турецкий 1000 г.;1794649475;KDMEHM10*100;https://www.ozon.ru/product/1794649475;Kurukahveci Mehmet Efendi;Продукты питания;Кофе молотый;Нет;2 680 624 ₽;+25%;1 493;597 ₽;1 795 ₽;0 ₽;17 из 28;96 124 ₽;54;FBO;36 ч;6,8;39,0%;49,0%;21 861;19 857;2,49%;8,63%;0,0%;97,4%;2024-12-20
Кофе растворимый Жокей Голд, сублимированный, 150 г;1238740608;1776-08;https://www.ozon.ru/product/1238740608;Жокей;Продукты питания;Кофе растворимый;Нет;2 680 425 ₽;+95%;8 478;1 ₽;316 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;2,1;58,0%;85,0%;579 117;99 578;0,67%;12,94%;6,7%;0,0%;0001-01-01
НЕСКАФÉ Кофе растворимый Сублимированный 500г. 1шт.;3190184298;нескафе500 12;https://www.ozon.ru/product/3190184298;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;2 621 756 ₽;0%;2 687;79 ₽;976 ₽;188 982 ₽;27 из 28;94 491 ₽;97;FBS;0 ч;1,0;39,0%;49,0%;88 209;23 717;2,12%;19,97%;0,2%;94,5%;2025-12-03
Кофе растворимый Бразилия (ITU), сублимированный, пакет 500 грамм;1480528673;003;https://www.ozon.ru/product/1480528673;ORANGE PRODUKTORIUM;Продукты питания;Кофе растворимый;Нет;2 615 111 ₽;+5%;2 880;1 ₽;908 ₽;0 ₽;9 из 28;93 613 ₽;103;FBO;28 ч;2,5;41,0%;53,0%;169 244;38 770;0,45%;10,63%;0,0%;97,4%;2024-03-18
Кофе капсульный Nescafe Dolce Gusto Flat White, для системы Dolce Gusto, 16 шт;227822951;12396485;https://www.ozon.ru/product/227822951;Nescafe Dolce Gusto;Продукты питания;Кофе в капсулах;Нет;2 601 164 ₽;+33%;3 308;1 ₽;786 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,8;40,0%;52,0%;120 356;26 312;1,28%;9,78%;0,1%;0,0%;0001-01-01
Кофе в зернах 1 кг, Бразилия Сантос, арабика 100%, Zerno Caffe;265322381;CAFFE_ZERNO_B1;https://www.ozon.ru/product/265322381;Zerno Caffe;Продукты питания;Кофе в зернах;Нет;2 597 311 ₽;-65%;1 391;1 225 ₽;1 867 ₽;0 ₽;13 из 28;91 520 ₽;49;FBO;28 ч;2,4;36,0%;44,0%;368 663;30 598;0,13%;7,81%;7,8%;97,4%;2021-05-20
Кофе в зернах 1 кг, Velvesso Crema Suprema,100% арабика;1608710121;CremaSuprema_1кг;https://www.ozon.ru/product/1608710121;Velvesso;Продукты питания;Кофе в зернах;Нет;2 591 552 ₽;-16%;1 686;747 ₽;1 537 ₽;0 ₽;7 из 28;92 283 ₽;60;FBO;29 ч;6,0;39,0%;49,0%;196 675;25 580;0,17%;11,56%;4,7%;97,4%;2024-06-19
Кофе молотый Жокей Классический, 450 г;33069366;0347-12-Н, 0347-12-0, 0347-12-0;https://www.ozon.ru/product/33069366;Жокей;Продукты питания;Кофе молотый;Нет;2 590 048 ₽;+136%;4 682;1 ₽;553 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,3;45,0%;61,0%;107 065;69 269;1,42%;7,60%;0,0%;0,0%;0001-01-01
Кофе молотый Jardin Cream Sabayon, 200 г;1442846910;1865-10;https://www.ozon.ru/product/1442846910;Jardin;Продукты питания;Кофе молотый;Нет;2 578 622 ₽;+62%;7 821;1 ₽;330 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;2,1;57,0%;83,0%;411 070;96 367;1,55%;11,21%;7,6%;0,0%;0001-01-01
Кофе в зернах Santino Aroma 1 кг;1718408858;zerno_s_1kg_santino_aroma;https://www.ozon.ru/product/1718408858;Santino coffee;Продукты питания;Кофе в зернах;Нет;2 575 874 ₽;+147%;2 629;1 ₽;980 ₽;665 691 ₽;28 из 28;133 138 ₽;137;FBO,FBS;0 ч;7,0;44,0%;56,0%;99 109;27 104;1,00%;14,47%;0,0%;92,6%;2024-10-08
Кофе растворимый Нескафе Голд Арома Интенсо, 170 г;428961307;12458762;https://www.ozon.ru/product/428961307;НЕСКАФÉ;Продукты питания;Кофе растворимый;Нет;2 566 371 ₽;+82%;4 960;1 ₽;517 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,5;45,0%;61,0%;280 597;60 600;0,70%;10,29%;0,2%;0,0%;0001-01-01
Кофе в зернах LALIBELA COFFEE CLASSIC 1кг;833673668;89235;https://www.ozon.ru/product/833673668;Lalibela сoffee;Продукты питания;Кофе в зернах;Нет;2 556 696 ₽;+50%;2 543;1 ₽;1 005 ₽;0 ₽;25 из 28;85 951 ₽;86;FBO,FBS;44 ч;5,6;43,0%;55,0%;156 143;30 002;0,68%;14,04%;1,9%;96,2%;2023-01-10
Кофе в зернах 1 кг, АРАБИКА 100%, Бразилия Серрадо, зерновой, свежая обжарка;1142574345;INBRSERRADO1000;https://www.ozon.ru/product/1142574345;initio de coffee;Продукты питания;Кофе в зернах;Нет;2 541 077 ₽;0%;1 583;610 ₽;1 605 ₽;0 ₽;22 из 28;89 024 ₽;56;FBO;35 ч;5,7;40,0%;49,0%;260 477;32 998;0,26%;8,11%;4,8%;95,0%;2023-08-18
Кофе молотый Tasty Coffee Бразилия Суль-де-Минас, 250 г;231657057;3АМ001МОЛ;https://www.ozon.ru/product/231657057;Tasty Coffee;Продукты питания;Кофе молотый;Нет;2 540 082 ₽;+1%;4 081;1 ₽;622 ₽;0 ₽;26 из 28;89 702 ₽;144;FBO;49 ч;1,4;43,0%;58,0%;265 648;35 232;0,90%;10,56%;14,2%;96,2%;2021-02-19
Кофе в зернах Poetti Daily Arabica, натуральный, жареный, 1 кг;697311789;18106;https://www.ozon.ru/product/697311789;Poetti;Продукты питания;Кофе в зернах;Нет;2 540 082 ₽;+106%;1 960;101 ₽;1 296 ₽;0 ₽;9 из 28;90 009 ₽;70;FBO;30 ч;3,2;40,0%;50,0%;55 147;17 809;1,27%;10,25%;0,0%;95,6%;2022-09-02
Кофе в зернах Lavazza Qualita ORO 1 кг 100% Арабика;2824326868;ЗМ оро 1кг new;https://www.ozon.ru/product/2824326868;Lavazza;Продукты питания;Кофе в зернах;Нет;2 531 367 ₽;-54%;1 710;912 ₽;1 480 ₽;0 ₽;24 из 28;87 830 ₽;59;FBO;45 ч;4,3;39,0%;48,0%;364 507;19 647;0,36%;11,48%;10,9%;93,6%;2025-09-08
Дрип кофе Sibaristica Drip Box, Эфиопия, Колумбия, Гватемала, (Набор молотого кофе в дрип-пакетах) 6шт*10гр;865319758;К0000003194;https://www.ozon.ru/product/865319758;Sibaristica;Продукты питания;Кофе в дрип-пакетах;Нет;2 503 731 ₽;+104%;9 986;2 ₽;251 ₽;0 ₽;14 из 28;88 776 ₽;354;FBO;40 ч;2,1;53,0%;75,0%;284 343;92 719;1,01%;11,12%;5,5%;96,3%;2023-02-15
Кофе молотый BUSHIDO Specialty Coffee, 227 г;151792314;BU22712006;https://www.ozon.ru/product/151792314;BUSHIDO;Продукты питания;Кофе молотый;Нет;2 501 824 ₽;+71%;3 996;1 ₽;626 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,5;44,0%;59,0%;441 457;79 137;0,40%;6,42%;25,3%;0,0%;0001-01-01
 Кофе растворимый Сублимированный 500г. 1шт.;3190974443;рас Нескафе 500;https://www.ozon.ru/product/3190974443;без бренда;Продукты питания;Кофе растворимый;Нет;2 496 921 ₽;0%;2 634;1 ₽;948 ₽;172 949 ₽;27 из 28;86 475 ₽;91;FBS;0 ч;0,5;39,0%;49,0%;181 196;22 219;0,98%;16,17%;1,0%;95,0%;2025-12-03
Кофе растворимый Carte Noire Original, банка, 190 г;33871155;604361;https://www.ozon.ru/product/33871155;Carte Noire;Продукты питания;Кофе растворимый;Нет;2 472 869 ₽;+113%;2 586;1 ₽;956 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,5;40,0%;51,0%;120 308;41 299;1,43%;9,40%;1,5%;0,0%;0001-01-01
Кофе растворимый Monarch Pacific Selection, 370 г;1482873267;4058113;https://www.ozon.ru/product/1482873267;Monarch;Продукты питания;Кофе растворимый;Нет;2 463 217 ₽;+143%;3 143;1 ₽;784 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,0;43,0%;57,0%;220 671;106 528;1,12%;6,69%;4,6%;0,0%;0001-01-01
Кофе в зернах 1 кг, 100% Арабика, Бразилия Серрадо, DE JANEIRO ESPRESSO PRESIDENT;1101821858;DJ-PRESIDENT-1000;https://www.ozon.ru/product/1101821858;DE JANEIRO;Продукты питания;Кофе в зернах;Нет;2 460 231 ₽;0%;1 360;151 ₽;1 809 ₽;0 ₽;13 из 28;86 565 ₽;48;FBO;32 ч;2,6;36,0%;43,0%;40 851;35 649;0,29%;6,85%;1,0%;96,9%;2023-07-27
Кофе капсульный Starbucks House Blend, для системы Nespresso, 10 шт;158878852;6200097;https://www.ozon.ru/product/158878852;Starbucks;Продукты питания;Кофе в капсулах;Нет;2 459 713 ₽;+34%;4 323;1 ₽;569 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;0,5;44,0%;59,0%;85 805;19 826;2,15%;9,57%;0,1%;0,0%;0001-01-01
"Новогодний подарок! Подарочный набор кофе ""ШОКОЛАДНАЯ КОЛЛЕКЦИЯ""";2937409447;4620054763629;https://www.ozon.ru/product/2937409447;MONEY TEA;Продукты питания;Кофе молотый;Нет;2 458 587 ₽;+10 732%;3 774;61 ₽;651 ₽;0 ₽;21 из 28;85 402 ₽;131;FBO;42 ч;1,0;41,0%;53,0%;474 187;109 543;0,44%;8,62%;7,1%;93,0%;2025-10-06
Кофе капсульный Nescafe Dolce Gusto Latte Macchiato, для системы Dolce Gusto, 8 порций, 16 шт;135384042;5219838;https://www.ozon.ru/product/135384042;Nescafe Dolce Gusto;Продукты питания;Кофе в капсулах;Нет;2 457 096 ₽;0%;3 492;1 ₽;704 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;1,7;43,0%;57,0%;169 050;37 636;1,53%;8,95%;0,2%;0,0%;0001-01-01
Кофе молотый турецкий Mehmet Efendi;3001346324;кофе 10 пачек;https://www.ozon.ru/product/3001346324;Kurukahveci Mehmet Efendi;Продукты питания;Кофе молотый;Нет;2 449 422 ₽;+2%;1 308;1 ₽;1 873 ₽;0 ₽;19 из 28;85 479 ₽;46;FBO;31 ч;4,5;38,0%;46,0%;90 551;16 364;0,82%;9,63%;1,1%;94,3%;2025-10-21
Кофе в зернах, 100% арабика премиум, Эспрессо Суль Де Минас,1 кг;1700975250;BR_Coffee_1k_ESPRESSO;https://www.ozon.ru/product/1700975250;JORGE;Продукты питания;Кофе в зернах;Нет;2 439 841 ₽;-34%;1 795;1 ₽;1 359 ₽;0 ₽;15 из 28;86 308 ₽;64;FBO;32 ч;3,2;39,0%;49,0%;93 095;40 752;0,26%;10,62%;3,7%;97,1%;2024-09-22
Дрип кофе Tasty Coffee Эфиопия Сидамо, 10 шт. по 11,5 г;640127897;ДРИПэфиопияСидамо;https://www.ozon.ru/product/640127897;Tasty Coffee;Продукты питания;Кофе в дрип-пакетах;Нет;2 419 783 ₽;+22%;4 773;1 ₽;507 ₽;0 ₽;24 из 28;49 346 ₽;97;FBO;51 ч;1,8;46,0%;63,0%;293 765;63 080;1,19%;6,36%;21,4%;96,6%;2022-07-11
Кофе в зернах FRESCO Arabica Espresso, 1 кг;285303714;4630007986999;https://www.ozon.ru/product/285303714;Fresco;Продукты питания;Кофе в зернах;Нет;2 416 177 ₽;+117%;1 918;1 ₽;1 260 ₽;0 ₽;0 из 28;0 ₽;0;FBO;0 ч;4,3;41,0%;52,0%;248 207;21 382;0,30%;11,64%;11,8%;0,0%;0001-01-01
